Symbol,Name,Index Fund,Category Name,Net Expense Ratio,Tracking Error (vs Category) (3Y),Tracking Error (vs Category) (5Y),Tracking Error (vs Category) (10Y),R-Squared (vs Category) (5Y),Share Class Assets Under Management,Downside (vs Category) (5Y),Downside (vs Category) (10Y),Max Drawdown (5Y),Max Drawdown (10Y),Information Ratio (vs Category) (3Y),Information Ratio (vs Category) (5Y),Information Ratio (vs Category) (10Y),Historical Sortino (3Y),Historical Sortino (5Y),Historical Sortino (10Y),Upside (vs Category) (3Y),Upside (vs Category) (5Y),Upside (vs Category) (10Y),3 Year Total Returns (Daily),5 Year Total Returns (Daily),10 Year Total Returns (Daily),2025 Scoring System
AADR,AdvisorShares Dorsey Wright ADR ETF,False,Foreign Large Growth,0.0109,10.74,10.34,10.32,0.6395,46547987.0,0.6818,0.8631,0.34767,0.449967,0.72,0.5,0.17,1.7969,0.5614,0.4479,0.9407,0.944,0.9688,0.855866,0.548003,1.441766,0.6799
AAIEX,American Beacon International Equity Fd R5,False,Foreign Large Value,0.0078,5.11,5.46,4.98,0.8898,301510463.0,1.2482,1.1178,0.292087,0.433053,-0.14,-0.24,-0.2,1.6868,0.7731,0.3214,1.0809,1.09,1.0445,0.701619,0.653329,1.068639,0.6791
AALRX,American Beacon Large Cap Value Fund R6,False,Large Value,0.0062,2.31,2.75,,0.9702,1528637463.0,1.0032,,0.196422,0.416877,0.02,0.43,,0.992,1.156,0.5119,0.9843,1.0409,,0.509782,0.835848,1.851259,0.6457
AASRX,American Beacon Small Cap Value Fund R6,False,Small Value,0.0077,4.04,4.37,,0.9562,1574507254.0,0.9845,,0.289718,0.496485,-0.54,0.06,,0.1922,0.6932,0.3102,0.9402,0.9957,,0.344755,0.594557,1.32462,0.5918
AATIX,Ancora/Thelen Small-Mid Cap Fund I,False,Small Value,0.0122,7.37,7.14,7.09,0.8796,130794947.0,0.8519,0.801,0.275042,0.431704,0.36,-0.01,0.14,0.7074,0.6973,0.4355,0.8991,0.8876,0.8731,0.518274,0.588929,1.626899,0.6446
AAUS,Alpha Architect US Equity ETF,False,Large Blend,0.0015,,,,,487651057.0,,,,,,,,,,,,,,,,,0.447
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,False,Mid-Cap Value,0.0042,,,,,10816444.0,,,,,,,,,,,,,,,,,0.4402
ABCYX,American Beacon The London Company Inc Eqty Y,False,Large Value,0.0083,4.36,5.05,5.22,0.8827,656936278.0,0.9533,0.8939,0.203052,0.332823,-0.67,-0.59,-0.13,0.6493,0.7015,0.6027,0.822,0.8728,0.9083,0.352215,0.515169,1.524136,0.6577
ABEMX,abrdn Emerging Markets Fund Inst,False,Diversified Emerging Mkts,0.011,3.48,4.58,4.65,0.9207,487738953.0,1.1072,1.0917,0.45436,0.45436,-0.86,-0.67,-0.29,0.9298,-0.1107,0.3307,0.9432,0.958,1.0177,0.433852,0.030023,0.890703,0.6073
ABEQ,Absolute Select Value ETF,False,Large Value,0.0085,7.72,7.74,,0.7304,122063246.0,0.6503,,0.172567,,-0.19,-0.31,,1.2308,1.0331,,0.7033,0.71,,0.371628,0.522862,,0.6205
ABFL,Abacus FCF Leaders ETF,False,Large Blend,0.0049,4.54,4.25,,0.9226,760793572.0,0.9063,,0.218547,,-1.4,-0.35,,1.1394,1.0452,,0.7997,0.9031,,0.560694,0.794677,,0.6153
ABIAX,AB International Value Fund A,False,Foreign Large Value,0.0123,4.74,5.81,5.54,0.8946,89291528.0,1.2003,1.1216,0.329924,0.500848,-0.15,-0.08,-0.34,1.8775,0.8583,0.2581,1.0525,1.0943,1.0123,0.711187,0.68406,0.875579,0.6652
ABIG,Argent Large Cap ETF,False,Large Blend,0.0049,,,,,40166050.0,,,,,,,,,,,,,,,,,0.4385
ABLD,Abacus FCF Real Assets Leaders ETF,True,Large Value,0.0039,5.09,,,,38249303.0,,,,,-0.55,,,0.5554,,,0.8853,,,0.379122,,,0.5429
ABLG,Abacus FCF International Leaders ETF,False,Foreign Large Blend,0.0054,4.88,5.09,,0.8846,31029048.0,1.1623,,0.341251,,-1.33,-0.73,,0.5793,0.1452,,0.869,0.9589,,0.338372,0.209865,,0.5713
ABLS,Abacus FCF Small Cap Leaders ETF,True,Small Blend,0.0039,,,,,1171925.0,,,,,,,,,,,,,,,,,0.441
ABMVX,AB Mid Cap Value Portfolio Z,False,Mid-Cap Value,0.0067,,,,,2376423.0,,,,,,,,,,,,,,,,,0.4339
ABVYX,AB Large Cap Value Fund Adv,False,Large Value,0.0064,3.7,3.48,3.51,0.9536,394760523.0,1.0104,1.0837,0.182217,0.40423,0.78,0.77,-0.32,1.2204,1.3091,0.4644,1.1245,1.0932,1.0132,0.621043,0.937263,1.4507,0.6969
ABYEX,AB Emerging Markets Multi-Asset Portfolio Adv,False,Diversified Emerging Mkts,0.01,5.16,4.78,5.31,0.9095,141935180.0,0.8012,0.8182,0.385975,0.385975,0.44,0.14,-0.23,1.8102,0.2731,0.3825,0.8693,0.8674,0.8234,0.603993,0.261448,0.938373,0.6483
ABYSX,AB Discovery Value Fund Advisor,False,Small Value,0.0084,5.73,6.09,5.17,0.9124,1524653909.0,0.9224,0.9353,0.247513,0.488109,-0.22,-0.1,-0.17,0.301,0.6514,0.3138,0.8925,0.9255,0.9237,0.352481,0.532031,1.235967,0.6336
ACADX,American Century Emerging Markets Fund G,False,Diversified Emerging Mkts,0.0002,4.21,,,,584384765.0,,,0.470104,0.470104,0.38,,,1.3513,0.0362,0.5117,1.0257,,,0.611926,0.120464,1.102013,0.579
