Symbol,Name,Index Fund,Category Name,Net Expense Ratio,Tracking Error (vs Category) (3Y),Tracking Error (vs Category) (5Y),Tracking Error (vs Category) (10Y),R-Squared (vs Category) (5Y),Share Class Assets Under Management,Downside (vs Category) (5Y),Downside (vs Category) (10Y),Max Drawdown (5Y),Max Drawdown (10Y),Information Ratio (vs Category) (3Y),Information Ratio (vs Category) (5Y),Information Ratio (vs Category) (10Y),Historical Sortino (3Y),Historical Sortino (5Y),Historical Sortino (10Y),Upside (vs Category) (3Y),Upside (vs Category) (5Y),Upside (vs Category) (10Y),3 Year Total Returns (Daily),5 Year Total Returns (Daily),10 Year Total Returns (Daily),2025 Scoring System
AADR,AdvisorShares Dorsey Wright ADR ETF,False,Foreign Large Growth,0.010900,10.740000,10.340000,10.320000,0.639500,46547987.000000,0.681800,0.863100,0.34767,0.449967,0.720000,0.500000,0.170000,1.7969,0.5614,0.4479,0.940700,0.944000,0.968800,0.855866,0.548003,1.441766,0.6799
AAIEX,American Beacon International Equity Fd R5,False,Foreign Large Value,0.007800,5.110000,5.460000,4.980000,0.889800,301510463.000000,1.248200,1.117800,0.292087,0.433053,-0.140000,-0.240000,-0.200000,1.6868,0.7731,0.3214,1.080900,1.090000,1.044500,0.701619,0.653329,1.068639,0.6791
AALRX,American Beacon Large Cap Value Fund R6,False,Large Value,0.006200,2.310000,2.750000,,0.970200,1528637463.000000,1.003200,,0.196422,0.416877,0.020000,0.430000,,0.9920,1.1560,0.5119,0.984300,1.040900,,0.509782,0.835848,1.851259,0.6457
AASRX,American Beacon Small Cap Value Fund R6,False,Small Value,0.007700,4.040000,4.370000,,0.956200,1574507254.000000,0.984500,,0.289718,0.496485,-0.540000,0.060000,,0.1922,0.6932,0.3102,0.940200,0.995700,,0.344755,0.594557,1.32462,0.5918
AATIX,Ancora/Thelen Small-Mid Cap Fund I,False,Small Value,0.012200,7.370000,7.140000,7.090000,0.879600,130794947.000000,0.851900,0.801000,0.275042,0.431704,0.360000,-0.010000,0.140000,0.7074,0.6973,0.4355,0.899100,0.887600,0.873100,0.518274,0.588929,1.626899,0.6446
AAUS,Alpha Architect US Equity ETF,False,Large Blend,0.001500,,,,,487651057.000000,,,,,,,,,,,,,,,,,0.4470
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,False,Mid-Cap Value,0.004200,,,,,10816444.000000,,,,,,,,,,,,,,,,,0.4402
ABCYX,American Beacon The London Company Inc Eqty Y,False,Large Value,0.008300,4.360000,5.050000,5.220000,0.882700,656936278.000000,0.953300,0.893900,0.203052,0.332823,-0.670000,-0.590000,-0.130000,0.6493,0.7015,0.6027,0.822000,0.872800,0.908300,0.352215,0.515169,1.524136,0.6577
ABEMX,abrdn Emerging Markets Fund Inst,False,Diversified Emerging Mkts,0.011000,3.480000,4.580000,4.650000,0.920700,487738953.000000,1.107200,1.091700,0.45436,0.45436,-0.860000,-0.670000,-0.290000,0.9298,-0.1107,0.3307,0.943200,0.958000,1.017700,0.433852,0.030023,0.890703,0.6073
ABEQ,Absolute Select Value ETF,False,Large Value,0.008500,7.720000,7.740000,,0.730400,122063246.000000,0.650300,,0.172567,,-0.190000,-0.310000,,1.2308,1.0331,,0.703300,0.710000,,0.371628,0.522862,,0.6205
ABFL,Abacus FCF Leaders ETF,False,Large Blend,0.004900,4.540000,4.250000,,0.922600,760793572.000000,0.906300,,0.218547,,-1.400000,-0.350000,,1.1394,1.0452,,0.799700,0.903100,,0.560694,0.794677,,0.6153
ABIAX,AB International Value Fund A,False,Foreign Large Value,0.012300,4.740000,5.810000,5.540000,0.894600,89291528.000000,1.200300,1.121600,0.329924,0.500848,-0.150000,-0.080000,-0.340000,1.8775,0.8583,0.2581,1.052500,1.094300,1.012300,0.711187,0.68406,0.875579,0.6652
ABIG,Argent Large Cap ETF,False,Large Blend,0.004900,,,,,40166050.000000,,,,,,,,,,,,,,,,,0.4385
ABLD,Abacus FCF Real Assets Leaders ETF,True,Large Value,0.003900,5.090000,,,,38249303.000000,,,,,-0.550000,,,0.5554,,,0.885300,,,0.379122,,,0.5429
ABLG,Abacus FCF International Leaders ETF,False,Foreign Large Blend,0.005400,4.880000,5.090000,,0.884600,31029048.000000,1.162300,,0.341251,,-1.330000,-0.730000,,0.5793,0.1452,,0.869000,0.958900,,0.338372,0.209865,,0.5713
ABLS,Abacus FCF Small Cap Leaders ETF,True,Small Blend,0.003900,,,,,1171925.000000,,,,,,,,,,,,,,,,,0.4410
ABMVX,AB Mid Cap Value Portfolio Z,False,Mid-Cap Value,0.006700,,,,,2376423.000000,,,,,,,,,,,,,,,,,0.4339
ABVYX,AB Large Cap Value Fund Adv,False,Large Value,0.006400,3.700000,3.480000,3.510000,0.953600,394760523.000000,1.010400,1.083700,0.182217,0.40423,0.780000,0.770000,-0.320000,1.2204,1.3091,0.4644,1.124500,1.093200,1.013200,0.621043,0.937263,1.4507,0.6969
ABYEX,AB Emerging Markets Multi-Asset Portfolio Adv,False,Diversified Emerging Mkts,0.010000,5.160000,4.780000,5.310000,0.909500,141935180.000000,0.801200,0.818200,0.385975,0.385975,0.440000,0.140000,-0.230000,1.8102,0.2731,0.3825,0.869300,0.867400,0.823400,0.603993,0.261448,0.938373,0.6483
ABYSX,AB Discovery Value Fund Advisor,False,Small Value,0.008400,5.730000,6.090000,5.170000,0.912400,1524653909.000000,0.922400,0.935300,0.247513,0.488109,-0.220000,-0.100000,-0.170000,0.3010,0.6514,0.3138,0.892500,0.925500,0.923700,0.352481,0.532031,1.235967,0.6336
ACADX,American Century Emerging Markets Fund G,False,Diversified Emerging Mkts,0.000200,4.210000,,,,584384765.000000,,,0.470104,0.470104,0.380000,,,1.3513,0.0362,0.5117,1.025700,,,0.611926,0.120464,1.102013,0.5790
ACAEX,American Century International Growth Fund G,False,Foreign Large Growth,0.000200,4.700000,,,,1343022640.000000,,,0.384453,0.384453,-0.720000,,,0.6504,0.0091,0.3979,0.968300,,,0.371607,0.149732,0.899242,0.5641
ACAFX,American Century International Value Fund G,False,Foreign Large Value,0.000100,4.200000,,,,1152192311.000000,,,,,0.460000,,,2.4527,,,1.078700,,,0.837458,,,0.5950
ACALX,Advisors Capital Active All Cap Fund,False,Large Blend,0.018700,1.340000,,,,256681870.000000,,,,,-2.780000,,,1.4586,,,0.916400,,,0.686944,,,0.5117
ACAZX,Alger Capital Appreciation Fund Z,False,Large Growth,0.009500,6.120000,5.980000,4.670000,0.931600,1284439302.000000,1.116900,1.092900,0.411007,0.411007,1.630000,0.090000,0.010000,2.3428,0.9078,1.0099,1.274400,1.081900,1.049800,1.750986,1.117005,4.188425,0.7226
ACBEX,Allspring Managed Account Crb Em Cor Em,False,Diversified Emerging Mkts,0.000000,5.920000,,,,4458298.070000,,,,,-0.850000,,,0.7920,,,0.760200,,,0.349797,,,0.5554
ACEP,ARS Core Equity Portfolio ETF,False,Large Blend,0.004500,,,,,79638752.210000,,,,,,,,,,,,,,,,,0.4395
ACFLX,American Century Focused Large Cap Value Fund G,False,Large Value,0.000100,5.350000,,,,1969148684.000000,,,0.137967,0.355262,-0.160000,,,0.9442,1.1630,1.0422,0.849900,,,0.425308,0.721199,1.593131,0.6330
ACFOX,American Century Focused Dynamic Growth Fd Inv,False,Large Growth,0.008500,6.550000,7.400000,6.950000,0.894100,920934289.000000,1.255300,1.149900,0.438088,0.438088,0.010000,-0.840000,0.020000,1.8365,0.4494,0.9569,1.136700,0.988200,1.081900,1.256036,0.589895,4.374766,0.6823
ACGIX,Invesco Growth & Income Fund A,False,Large Value,0.007800,3.670000,3.910000,4.270000,0.939700,2720285589.000000,0.979900,1.082200,0.192939,0.423359,0.030000,0.330000,0.000000,0.8524,1.0842,0.4848,1.031200,1.030200,1.053100,0.515534,0.838934,1.713633,0.6784
ACGR,American Century Large Cap Growth ETF,False,Large Growth,0.003900,1.610000,,,,16310108.000000,,,,,-2.090000,,,1.6930,,,0.941100,,,1.020263,,,0.5579
ACGRX,Advisors Capital Growth Fund,False,Large Growth,0.018700,,,,,111312487.000000,,,,,,,,,,,,,,,,,0.4038
ACIFX,Advisors Capital International Fund,False,Foreign Large Blend,0.018700,,,,,37026078.000000,,,,,,,,,,,,,,,,,0.4038
ACIWX,American Century Global Real Estate Fund G,False,Global Real Estate,0.000100,2.330000,,,,362850810.000000,,,0.33334,0.392655,0.830000,,,0.5270,0.2800,0.3402,1.006300,,,0.318072,0.31837,0.834243,0.5767
ACKM,VistaShares ACKtivist Select ETF,False,Large Blend,0.007500,,,,,,,,,,,,,,,,,,,,,,0.4319
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,False,Large Blend,0.009500,,,,,39517090.000000,,,,,,,,,,,,,,,,,0.4269
ACLC,American Century Large Cap Equity ETF,False,Large Blend,0.003900,1.480000,1.770000,,0.987300,277879992.000000,1.074600,,0.264442,,-2.820000,-1.120000,,1.3359,0.9013,,0.930100,0.982300,,0.657334,0.765866,,0.6030
ACRNX,Columbia Acorn Fund I,False,Mid-Cap Growth,0.008200,7.500000,6.920000,5.770000,0.893700,1642206325.000000,1.067600,1.077100,0.453621,0.453621,-0.560000,-0.740000,-0.680000,0.6763,-0.0214,0.3606,0.875000,0.892000,0.930000,0.457552,0.07409,1.268616,0.6005
ACSG,American Century Small Cap Growth Insights ETF,False,Small Growth,0.004900,,,,,6712658.000000,,,,,,,,,,,,,,,,,0.4385
ACSI,American Customer Satisfaction ETF,True,Large Blend,0.006500,5.360000,4.540000,,0.913900,104490312.000000,0.987800,,0.248649,,-1.110000,-0.880000,,1.2083,0.7105,,0.839400,0.872000,,0.62597,0.615022,,0.6011
ACSMX,Advisors Capital Small/Mid Cap Fund,False,Small Growth,0.018700,8.980000,,,,116946548.000000,,,,,-0.170000,,,0.8330,,,0.771700,,,0.482399,,,0.5133
